Baby_laugh01,Baby_laugh02,Baby_laugh03,Baby_laugh04,Baby_laugh05,Baby_laugh06,Baby_laugh07,Baby_laugh08,Baby_laugh09,Baby_laugh10,Baby_laugh11,Baby_laugh12,Baby_laugh13,Baby_laugh14,Baby_laugh15,Baby_laugh16,Baby_laugh17,Baby_laugh18
0,0,135,0,0,159,151,148,124,138,152,56,164,51,0,111,0,149
0,0,135,65,65,159,151,148,124,138,152,56,163,51,0,111,0,149
0,0,135,65,65,159,151,148,124,138,152,56,163,51,0,111,0,149
0,0,135,65,65,159,151,0,124,138,152,56,163,51,0,111,176,150
0,0,135,65,65,159,151,0,124,138,0,56,163,51,0,111,0,0
0,0,135,65,65,159,151,148,124,138,152,56,163,148,0,111,0,150
0,0,135,65,65,159,151,131,124,138,0,56,163,148,0,111,176,0
0,0,135,65,65,159,151,131,124,138,0,56,164,148,0,110,0,0
0,0,135,65,65,159,151,131,124,138,0,56,164,148,67,110,0,0
0,0,135,65,65,159,151,131,0,138,0,56,164,148,67,110,0,0
0,0,135,65,65,159,329,130,0,138,0,56,164,148,67,110,0,0
0,0,135,65,65,159,329,130,0,138,0,56,164,148,67,110,0,0
0,0,135,65,65,159,329,130,0,138,152,56,164,148,67,110,0,0
0,0,135,65,65,0,329,130,0,138,152,56,164,148,67,110,0,150
0,0,0,65,65,159,329,130,0,138,152,56,164,148,67,110,0,150
0,0,0,65,65,159,329,130,0,138,152,56,164,148,67,110,0,150
0,0,0,65,65,159,329,130,0,138,152,56,164,148,67,110,0,150
0,0,0,65,65,159,329,130,0,138,152,0,169,148,0,110,0,150
0,0,0,98,98,159,162,130,0,138,152,0,169,148,0,110,0,150
0,0,0,98,98,189,162,0,124,138,152,56,169,148,67,110,0,0
0,0,0,98,98,189,161,130,124,138,152,56,169,148,0,110,0,0
0,0,0,98,98,189,161,130,0,138,152,56,169,148,0,110,0,150
0,0,0,98,98,189,161,130,124,0,152,56,169,148,67,110,0,150
0,0,0,98,98,191,161,0,123,0,152,56,169,148,0,110,176,0
0,0,0,98,98,191,161,0,123,0,152,56,169,148,0,110,176,0
0,0,0,98,98,191,161,0,0,0,152,56,169,148,0,110,176,0
0,0,0,98,98,191,161,130,0,0,152,56,169,148,0,110,176,0
0,0,0,98,98,191,161,0,0,0,152,56,169,148,0,110,176,150
0,0,0,98,98,191,162,0,0,0,133,56,169,148,0,110,176,150
0,0,0,98,98,192,162,0,0,0,133,56,169,0,67,110,176,150
0,0,0,98,98,192,162,0,123,0,133,56,169,148,67,110,176,150
0,0,0,98,98,192,162,0,0,0,133,56,169,148,67,110,176,150
0,0,0,98,98,192,162,0,0,0,133,56,169,148,67,110,176,150
0,0,0,98,98,0,165,0,0,0,0,56,169,148,67,110,174,150
0,0,0,98,98,0,165,0,0,0,0,56,169,148,67,110,174,150
0,0,0,98,98,0,165,0,123,0,133,56,169,152,67,110,174,150
0,0,0,98,98,0,165,0,0,0,133,56,0,152,67,110,174,150
0,0,135,98,98,0,165,0,0,0,133,56,169,152,67,110,173,150
0,0,135,98,98,0,165,0,0,0,133,56,169,152,67,110,173,0
0,0,135,98,98,0,165,130,0,0,132,56,169,152,67,110,173,150
0,0,135,98,98,0,165,0,0,0,132,56,169,152,67,0,0,150
