T,File.Name,Min,1Q,Median,Mean,3Q,Max,Length
80,Adultfemale_cry14.csv,124.1,357.8,458.8,1116,1699,3613,267
81,Adultfemale_cry15.csv,194.5,350.7,352.5,343.9,377.2,404.7,7
82,Adultfemale_cry15.csv,335.9,337.2,338.5,338.5,339.7,341,2
83,Adultfemale_cry15.csv,165.6,235.3,486.4,427.8,520.3,692.1,53
84,Adultfemale_cry15.csv,57.5,100,142.5,142.5,185,227.5,2
85,Adultfemale_cry15.csv,133,133.1,133.1,133.1,133.2,133.3,2
86,Adultfemale_cry15.csv,228.2,270.5,334,699.1,378.3,3878,25
87,Adultfemale_cry15.csv,150.4,292.1,314.9,386.1,521.2,599.9,141
88,Adultfemale_cry16.csv,154.8,368.2,416.3,758.7,936.5,1951,76
89,Adultfemale_cry16.csv,422.3,422.3,422.3,422.3,422.3,422.3,1
90,Adultfemale_cry16.csv,203.9,203.9,203.9,203.9,203.9,203.9,1
91,Adultfemale_cry16.csv,162.6,162.7,162.8,162.8,162.9,163.1,2
92,Adultfemale_cry16.csv,155.8,1739,1837,2179,3550,3783,52
93,Adultfemale_cry16.csv,563,563.9,564.8,564.8,565.8,566.7,2
94,Adultfemale_cry17.csv,139,302.3,320.1,757.8,407.1,3714,99
95,Adultfemale_cry17.csv,331.3,331.3,331.3,331.3,331.3,331.3,1
96,Adultfemale_cry17.csv,320.1,320.4,320.8,327.6,331.3,341.9,3
97,Adultfemale_cry17.csv,332.9,372.7,3698,2419,3766,3856,29
98,Adultfemale_cry17.csv,361.7,362,362.2,362.3,362.6,362.9,3
99,Adultfemale_cry17.csv,346.8,350.6,354.3,354.3,358,361.7,2
100,Adultfemale_cry17.csv,371.5,371.5,371.5,371.5,371.5,371.5,1
101,Adultfemale_cry17.csv,192.5,192.5,192.5,192.5,192.5,192.5,1
102,Adultfemale_cry17.csv,282.9,282.9,282.9,282.9,282.9,282.9,1
103,Adultfemale_cry17.csv,171.5,171.5,171.5,171.5,171.5,171.5,1
104,Adultfemale_cry17.csv,255.3,255.3,255.3,255.3,255.3,255.3,1
105,Adultfemale_cry17.csv,216.1,219.9,223.7,223.7,227.4,231.2,2
106,Adultfemale_cry17.csv,247.6,264.4,281.2,281.2,298,314.9,2
107,Adultfemale_cry17.csv,205.3,205.3,205.3,205.3,205.3,205.3,1
108,Adultfemale_cry17.csv,204.4,207.1,209.7,209.7,212.3,214.9,2
109,Adultfemale_cry17.csv,509,1817,3748,2883,3848,4002,44
110,Adultfemale_cry17.csv,1031,1730,2430,2430,3129,3828,2
111,Adultfemale_cry18.csv,193.5,527.4,581.6,599.6,627.9,3823,152
112,Adultfemale_cry18.csv,273.2,288.8,295.3,290.3,296.9,297.3,4
113,Adultfemale_cry18.csv,241.3,245.6,249.9,249.9,254.1,258.4,2
114,Adultfemale_cry18.csv,257.2,257.2,257.2,257.2,257.2,257.2,1
115,Adultfemale_cry18.csv,227,383.5,431.9,579,509.8,3927,108
116,Adultfemale_cry18.csv,322.8,324.6,326.3,326.3,328,329.7,2
117,Adultfemale_cry19.csv,88.29,256.8,341.3,849.7,1834,3647,187
118,Adultfemale_cry19.csv,151,152.4,211.6,226.9,312.2,314.1,14
119,Adultfemale_cry19.csv,152.2,200.1,247.9,247.9,295.7,343.5,2
120,Adultfemale_cry19.csv,117.5,303.4,467.8,1127,1790,7342,70
121,Adultfemale_cry19.csv,245.7,250.5,255.4,255.4,260.2,265,2
122,Adultfemale_laugh01.csv,211.1,240.7,260.4,455.7,306,3838,127
123,Adultfemale_laugh01.csv,1377,1377,1377,1377,1377,1377,1
124,Adultfemale_laugh01.csv,1535,1535,1535,1535,1535,1535,1
125,Adultfemale_laugh01.csv,193,236.1,240.1,552.2,272.9,2080,53
126,Adultfemale_laugh01.csv,428.9,428.9,428.9,428.9,428.9,428.9,1
127,Adultfemale_laugh01.csv,292.3,293.8,295.2,294.8,296,296.9,3
128,Adultfemale_laugh01.csv,4126,4130,4135,4135,4139,4144,2
129,Adultfemale_laugh01.csv,83.46,1051,1065,1969,3484,4019,40
130,Adultfemale_laugh02.csv,279,384.3,409.4,508.1,430.8,2113,106
131,Adultfemale_laugh02.csv,510.5,510.5,510.5,510.5,510.5,510.5,1
132,Adultfemale_laugh02.csv,146.7,198.8,250.8,250.8,302.9,355,2
133,Adultfemale_laugh02.csv,166,327.4,1046,1699,3557,4191,74
134,Adultfemale_laugh02.csv,243.6,347.5,2054,1521,2155,4376,53
135,Adultfemale_laugh03.csv,312.4,393.9,441.7,1173,1461,3976,61
136,Adultfemale_laugh03.csv,310.8,341.1,1428,2070,3950,4085,35
137,Adultfemale_laugh03.csv,172.3,352.6,382.4,1496,3757,4081,31
138,Adultfemale_laugh03.csv,351.2,358.6,366,366,373.4,380.7,2
139,Adultfemale_laugh03.csv,374.3,374.3,374.3,374.3,374.3,374.3,1
140,Adultfemale_laugh03.csv,108.3,357.3,436.8,1594,3778,4232,28
141,Adultfemale_laugh03.csv,387.9,387.9,387.9,387.9,387.9,387.9,1
142,Adultfemale_laugh03.csv,394,1164,1935,1935,2705,3475,2
143,Adultfemale_laugh03.csv,388.1,429,1423,1527,2021,3985,31
144,Adultfemale_laugh03.csv,143.1,388.8,1414,1598,1416,4009,19
145,Adultfemale_laugh04.csv,246.5,488.3,534.2,1193,1517,3969,51
146,Adultfemale_laugh04.csv,263.9,263.9,263.9,263.9,263.9,263.9,1
147,Adultfemale_laugh04.csv,194.4,1134,1892,1440,1907,1913,7
148,Adultfemale_laugh04.csv,1982,1982,1982,1982,1982,1982,1
149,Adultfemale_laugh04.csv,254.6,288.7,322.1,575.4,422.6,1872,36
150,Adultfemale_laugh04.csv,161.1,301.9,326.4,611.9,845.1,1755,31
151,Adultfemale_laugh04.csv,131.4,476.6,838.7,973.6,1715,1946,54
152,Adultfemale_laugh04.csv,875.2,875.8,876.5,876.5,877.1,877.8,2
153,Adultfemale_laugh04.csv,118.3,283,305.6,379.2,402,891.5,41
154,Adultfemale_laugh04.csv,272.8,273.1,273.4,275.3,275.6,281.8,4
155,Adultfemale_laugh05.csv,101.5,396.6,431.1,514.7,591.6,1881,236
156,Adultfemale_laugh05.csv,64.81,180.3,395.2,317.6,400.1,615.8,16
157,Adultfemale_laugh06.csv,66.23,265.4,399.4,413.6,428.7,1790,78
158,Adultfemale_laugh06.csv,113.8,114.2,401.1,295.3,405,443.2,10
159,Adultfemale_laugh06.csv,107.1,107.1,121.1,189,202.9,406.7,4
